"R","gens","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52"
2.3,8,0.000874537651359799,0.00186709433027761,0.00286410936869612,0.00511908332575139,0.00736268870110143,0.0124166722224301,0.0172753463420731,0.0281088996423917,0.0372947530263288,0.0587539795081588,0.0743181924324778,0.112834746893875,0.129166244780885,0.180853829065024,0.155877862945351,0.175011959763818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4,7,0.00149439098746175,0.00327583570912677,0.00505610321288875,0.00926275656831195,0.0133799545163777,0.0230354086165761,0.0318695509978457,0.0522948850217522,0.0681736867688725,0.108081804451177,0.128879328410734,0.188162127935925,0.168239533367133,0.198794633435818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,7,0.00120020572374863,0.00268529415326355,0.00416364451103704,0.00780672110324041,0.0114001335802563,0.0202289665158358,0.0284867459897875,0.0482918053277771,0.0643785027281863,0.105325167983101,0.12658562823873,0.191683759609301,0.173885700578441,0.213877723957294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6,7,0.000957308711066169,0.00218736362647841,0.00341845130541907,0.00657810240496348,0.00971103385186925,0.0177178032081216,0.0253390866990138,0.0443458539494754,0.0602148708609601,0.101875955023579,0.125275249431215,0.195562571720444,0.178831161025417,0.227985188181976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.7,6,0.0020693096691752,0.00483836299587127,0.00757474676921694,0.0148826069096427,0.0217860729445898,0.0400824168606514,0.0547616410177379,0.0960542376474858,0.120365192479753,0.196593564085735,0.188612961767079,0.252378886853063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.8,6,0.00173837209512616,0.00414772982044257,0.00654532902074888,0.0131969451115275,0.0196200942012617,0.0370655890590827,0.0512428146046361,0.0922666072807081,0.11684552181869,0.197224582555647,0.193097938725524,0.267008475706606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.9,6,0.00150005473333131,0.00365313752519293,0.00580777486192351,0.0119837304830945,0.0179884000561264,0.0348616907442354,0.0488413233198942,0.0902804221553836,0.115030140272528,0.199062086811749,0.193568393593925,0.277422845442616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,0.00120130486235011,0.00298682530460718,0.00477414781796179,0.0100574558942838,0.0152026601743384,0.0303650452081275,0.0434952463588323,0.0834038867833694,0.110282966403224,0.1981273369957,0.201769652611121,0.298333471586084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1,6,0.0010537818423921,0.00267117924955479,0.00429882184155199,0.00925070207254811,0.0140850365927401,0.0287214266266335,0.0412469968618701,0.0808199630829216,0.10760087238235,0.19820546768339,0.20279509753014,0.309250654233908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2,5,0.00286421016535996,0.00742947079112696,0.0119030782741027,0.0261595597914937,0.0390646409944748,0.0788624576781448,0.104917286720142,0.199591279733161,0.203576257277537,0.325631758574456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.3,5,0.00254181177310232,0.0067108304123341,0.0108471855216119,0.0242829579644352,0.036539897615518,0.0756299575368028,0.102665297990322,0.199491179712943,0.205071216792263,0.336219664680668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4,5,0.0022316269452479,0.00599179878380928,0.00973290101876416,0.0222734203431691,0.0338548462705955,0.0717314922747139,0.0979275044136083,0.196020238725971,0.208702335107461,0.35153383611666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,5,0.00195197223233824,0.00534925146469185,0.00871589537593142,0.0203766347711537,0.0311849729611417,0.0679239075483177,0.0941850996229514,0.19432008602464,0.210198156007121,0.365794023991713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6,5,0.00178224971811416,0.00495631999528709,0.0081043011018407,0.0192332154089644,0.0294995027602162,0.0655065471853446,0.0920274833799345,0.193617706540732,0.210510348840325,0.374762325069241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.7,5,0.00156244669489546,0.00442901879572295,0.00728314024729299,0.0176836286770738,0.0274473546334855,0.0626055516802582,0.0889526413816561,0.192079991558606,0.211410521530535,0.386545704800473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.8,5,0.00136833467283719,0.00394764968409824,0.00652709046725097,0.0161750074479997,0.0253069595637167,0.0589877132990728,0.0845987594104677,0.187854158859418,0.21400484483787,0.401229481757269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
